Waste type,Month,Value,Source_Sheet
Waste type,MESS,MESS,Oct-2025
Wet waste,MESS,51,Oct-2025
Dry waste,MESS,0,Oct-2025
TOTAL (Kg),MESS,51,Oct-2025
Wet waste,Bistro,22,Oct-2025
Dry waste,Bistro,0,Oct-2025
TOTAL (Kg),Bistro,22,Oct-2025
Waste type,Bistro,Bistro,Oct-2025
Wet waste,Bistro,0,Oct-2025
Dry waste,Bistro,0,Oct-2025
TOTAL (Kg),Bistro,0,Oct-2025
Waste type,Bistro,Bistro,Oct-2025
Wet waste,Bistro,32,Oct-2025
Dry waste,Bistro,0,Oct-2025
TOTAL (Kg),Bistro,32,Oct-2025
Waste type,Bistro,Bistro,Oct-2025
Wet waste,Bistro,0,Oct-2025
Dry waste,Bistro,0,Oct-2025
TOTAL (Kg),Bistro,0,Oct-2025
Waste type,Bistro,Bistro,Oct-2025
Wet waste,Bistro,22,Oct-2025
Dry waste,Bistro,0,Oct-2025
TOTAL (Kg),Bistro,22,Oct-2025
Waste type,Bistro,Bistro,Oct-2025
Wet waste,Bistro,28,Oct-2025
Dry waste,Bistro,0,Oct-2025
TOTAL (Kg),Bistro,28,Oct-2025
Waste type,Bistro,Bistro,Oct-2025
Wet waste,Bistro,30,Oct-2025
Dry waste,Bistro,0,Oct-2025
TOTAL (Kg),Bistro,30,Oct-2025
Waste type,Bistro,Bistro,Oct-2025
Wet waste,Bistro,30,Oct-2025
Dry waste,Bistro,0,Oct-2025
TOTAL (Kg),Bistro,30,Oct-2025
Waste type,Bistro,Bistro,Oct-2025
Wet waste,Bistro,27,Oct-2025
Dry waste,Bistro,0,Oct-2025
TOTAL (Kg),Bistro,27,Oct-2025
Waste type,Bistro,Bistro,Oct-2025
Wet waste,Bistro,45,Oct-2025
Dry waste,Bistro,0,Oct-2025
TOTAL (Kg),Bistro,45,Oct-2025
Waste type,Bistro,Bistro,Oct-2025
Wet waste,Bistro,0,Oct-2025
Dry waste,Bistro,0,Oct-2025
TOTAL (Kg),Bistro,0,Oct-2025
Waste type,Bistro,Bistro,Oct-2025
Wet waste,Bistro,45,Oct-2025
Dry waste,Bistro,0,Oct-2025
TOTAL (Kg),Bistro,45,Oct-2025
Waste type,Bistro,Bistro,Oct-2025
Wet waste,Bistro,62,Oct-2025
Dry waste,Bistro,0,Oct-2025
TOTAL (Kg),Bistro,62,Oct-2025
Waste type,Bistro,Bistro,Oct-2025
Wet waste,Bistro,39,Oct-2025
Dry waste,Bistro,0,Oct-2025
TOTAL (Kg),Bistro,39,Oct-2025
Waste type,Bistro,Bistro,Oct-2025
Wet waste,Bistro,58,Oct-2025
Dry waste,Bistro,0,Oct-2025
TOTAL (Kg),Bistro,58,Oct-2025
Waste type,Bistro,Bistro,Oct-2025
Wet waste,Bistro,35,Oct-2025
Dry waste,Bistro,0,Oct-2025
TOTAL (Kg),Bistro,35,Oct-2025
Waste type,Bistro,Bistro,Oct-2025
Wet waste,Bistro,0,Oct-2025
Dry waste,Bistro,0,Oct-2025
TOTAL (Kg),Bistro,0,Oct-2025
Waste type,Bistro,Bistro,Oct-2025
Wet waste,Bistro,0,Oct-2025
Dry waste,Bistro,0,Oct-2025
TOTAL (Kg),Bistro,0,Oct-2025
Waste type,Bistro,Bistro,Oct-2025
Wet waste,Bistro,0,Oct-2025
Dry waste,Bistro,0,Oct-2025
TOTAL (Kg),Bistro,0,Oct-2025
Waste type,Bistro,Bistro,Oct-2025
Wet waste,Bistro,0,Oct-2025
Dry waste,Bistro,0,Oct-2025
TOTAL (Kg),Bistro,0,Oct-2025
Waste type,Bistro,Bistro,Oct-2025
Wet waste,Bistro,0,Oct-2025
Dry waste,Bistro,0,Oct-2025
TOTAL (Kg),Bistro,0,Oct-2025
Waste type,Bistro,Bistro,Oct-2025
Wet waste,Bistro,0,Oct-2025
Dry waste,Bistro,0,Oct-2025
TOTAL (Kg),Bistro,0,Oct-2025
Waste type,Bistro,Bistro,Oct-2025
Wet waste,Bistro,0,Oct-2025
Dry waste,Bistro,0,Oct-2025
TOTAL (Kg),Bistro,0,Oct-2025
Waste type,Bistro,Bistro,Oct-2025
Wet waste,Bistro,0,Oct-2025
Dry waste,Bistro,0,Oct-2025
TOTAL (Kg),Bistro,0,Oct-2025
Waste type,Bistro,Bistro,Oct-2025
Wet waste,Bistro,0,Oct-2025
Dry waste,Bistro,0,Oct-2025
TOTAL (Kg),Bistro,0,Oct-2025
Waste type,Bistro,Bistro,Oct-2025
Wet waste,Bistro,0,Oct-2025
Dry waste,Bistro,0,Oct-2025
TOTAL (Kg),Bistro,0,Oct-2025
Waste type,Bistro,Bistro,Oct-2025
Wet waste,Bistro,41,Oct-2025
Dry waste,Bistro,0,Oct-2025
TOTAL (Kg),Bistro,41,Oct-2025
Waste type,Bistro,Bistro,Oct-2025
Wet waste,Bistro,61,Oct-2025
Dry waste,Bistro,0,Oct-2025
TOTAL (Kg),Bistro,61,Oct-2025
Waste type,Bistro,Bistro,Oct-2025
Wet waste,Bistro,80,Oct-2025
Dry waste,Bistro,0,Oct-2025
TOTAL (Kg),Bistro,80,Oct-2025
Waste type,Bistro,Bistro,Oct-2025
Wet waste,Bistro,44,Oct-2025
Dry waste,Bistro,0,Oct-2025
TOTAL (Kg),Bistro,44,Oct-2025
Waste type,Bistro,Bistro,Oct-2025
Wet waste,Bistro,54,Oct-2025
Dry waste,Bistro,0,Oct-2025
TOTAL (Kg),Bistro,54,Oct-2025
Wet waste,0,214.0,Oct-2025
Dry waste,0,119.0,Oct-2025
TOTAL (Kg),0,333.0,Oct-2025
,0,0.0,Oct-2025
2025-10-02 00:00:00,0,0.0,Oct-2025
Waste type,0,0.0,Oct-2025
Wet waste,0,103.0,Oct-2025
Dry waste,0,28.0,Oct-2025
TOTAL (Kg),0,131.0,Oct-2025
,0,0.0,Oct-2025
2025-10-03 00:00:00,0,0.0,Oct-2025
Waste type,0,0.0,Oct-2025
Wet waste,0,260.39,Oct-2025
Dry waste,0,100.71,Oct-2025
TOTAL (Kg),0,361.1,Oct-2025
,0,0.0,Oct-2025
2025-10-04 00:00:00,0,0.0,Oct-2025
Waste type,0,0.0,Oct-2025
Wet waste,0,206.0,Oct-2025
Dry waste,0,74.0,Oct-2025
TOTAL (Kg),0,280.0,Oct-2025
,0,0.0,Oct-2025
2025-10-05 00:00:00,0,0.0,Oct-2025
Waste type,0,0.0,Oct-2025
Wet waste,0,159.42,Oct-2025
Dry waste,0,58.13,Oct-2025
TOTAL (Kg),0,217.55,Oct-2025
,0,0.0,Oct-2025
2025-10-06 00:00:00,0,0.0,Oct-2025
Waste type,0,0.0,Oct-2025
Wet waste,0,220.92,Oct-2025
Dry waste,0,93.47,Oct-2025
TOTAL (Kg),0,314.39,Oct-2025
,0,0.0,Oct-2025
2025-10-07 00:00:00,0,0.0,Oct-2025
Waste type,0,0.0,Oct-2025
Wet waste,0,215.36,Oct-2025
Dry waste,0,89.87,Oct-2025
TOTAL (Kg),0,305.23,Oct-2025
,0,0.0,Oct-2025
2025-10-08 00:00:00,0,0.0,Oct-2025
Waste type,0,0.0,Oct-2025
Wet waste,0,169.63,Oct-2025
Dry waste,0,73.59,Oct-2025
TOTAL (Kg),0,243.22,Oct-2025
,0,0.0,Oct-2025
2025-10-09 00:00:00,0,0.0,Oct-2025
Waste type,0,0.0,Oct-2025
Wet waste,0,165.42,Oct-2025
Dry waste,0,87.71,Oct-2025
TOTAL (Kg),0,253.13,Oct-2025
,0,0.0,Oct-2025
2025-10-10 00:00:00,0,0.0,Oct-2025
Waste type,0,0.0,Oct-2025
Wet waste,0,186.65,Oct-2025
Dry waste,0,100.27,Oct-2025
TOTAL (Kg),0,286.92,Oct-2025
,0,0.0,Oct-2025
2025-10-11 00:00:00,0,0.0,Oct-2025
Waste type,0,0.0,Oct-2025
Wet waste,0,154.12,Oct-2025
Dry waste,0,116.37,Oct-2025
TOTAL (Kg),0,270.49,Oct-2025
,0,0.0,Oct-2025
2025-10-12 00:00:00,0,0.0,Oct-2025
Waste type,0,0.0,Oct-2025
Wet waste,0,119.94,Oct-2025
Dry waste,0,55.68,Oct-2025
TOTAL (Kg),0,175.62,Oct-2025
,0,0.0,Oct-2025
2025-10-13 00:00:00,0,0.0,Oct-2025
Waste type,0,0.0,Oct-2025
Wet waste,0,191.2,Oct-2025
Dry waste,0,91.1,Oct-2025
TOTAL (Kg),0,282.3,Oct-2025
,0,0.0,Oct-2025
2025-10-14 00:00:00,0,0.0,Oct-2025
Waste type,0,0.0,Oct-2025
Wet waste,0,216.57,Oct-2025
Dry waste,0,132.7,Oct-2025
TOTAL (Kg),0,349.27,Oct-2025
,0,0.0,Oct-2025
2025-10-15 00:00:00,0,0.0,Oct-2025
Waste type,0,0.0,Oct-2025
Wet waste,0,234.23,Oct-2025
Dry waste,0,105.42,Oct-2025
TOTAL (Kg),0,339.65,Oct-2025
,0,0.0,Oct-2025
2025-10-16 00:00:00,0,0.0,Oct-2025
Waste type,0,0.0,Oct-2025
Wet waste,0,231.42,Oct-2025
Dry waste,0,122.42,Oct-2025
TOTAL (Kg),0,353.84,Oct-2025
,0,0.0,Oct-2025
2025-10-17 00:00:00,0,0.0,Oct-2025
Waste type,0,0.0,Oct-2025
Wet waste,0,109.28,Oct-2025
Dry waste,0,109.53,Oct-2025
TOTAL (Kg),0,218.81,Oct-2025
,0,0.0,Oct-2025
2025-10-18 00:00:00,0,0.0,Oct-2025
Waste type,0,0.0,Oct-2025
Wet waste,0,66.12,Oct-2025
Dry waste,0,52.33,Oct-2025
TOTAL (Kg),0,118.45,Oct-2025
,0,0.0,Oct-2025
2025-10-19 00:00:00,0,0.0,Oct-2025
Waste type,0,0.0,Oct-2025
Wet waste,0,48.0,Oct-2025
Dry waste,0,42.0,Oct-2025
TOTAL (Kg),0,90.0,Oct-2025
,0,0.0,Oct-2025
2025-10-20 00:00:00,0,0.0,Oct-2025
Waste type,0,0.0,Oct-2025
Wet waste,0,44.0,Oct-2025
Dry waste,0,41.0,Oct-2025
TOTAL (Kg),0,85.0,Oct-2025
,0,0.0,Oct-2025
2025-10-21 00:00:00,0,0.0,Oct-2025
Waste type,0,0.0,Oct-2025
Wet waste,0,21.0,Oct-2025
Dry waste,0,10.0,Oct-2025
TOTAL (Kg),0,31.0,Oct-2025
,0,0.0,Oct-2025
2025-10-22 00:00:00,0,0.0,Oct-2025
Waste type,0,0.0,Oct-2025
Wet waste,0,15.0,Oct-2025
Dry waste,0,12.0,Oct-2025
TOTAL (Kg),0,27.0,Oct-2025
,0,0.0,Oct-2025
2025-10-23 00:00:00,0,0.0,Oct-2025
Waste type,0,0.0,Oct-2025
Wet waste,0,13.0,Oct-2025
Dry waste,0,8.0,Oct-2025
TOTAL (Kg),0,21.0,Oct-2025
,0,0.0,Oct-2025
2025-10-24 00:00:00,0,0.0,Oct-2025
Waste type,0,0.0,Oct-2025
Wet waste,0,17.0,Oct-2025
Dry waste,0,94.0,Oct-2025
TOTAL (Kg),0,111.0,Oct-2025
,0,0.0,Oct-2025
2025-10-25 00:00:00,0,0.0,Oct-2025
Waste type,0,0.0,Oct-2025
Wet waste,0,11.0,Oct-2025
Dry waste,0,10.0,Oct-2025
TOTAL (Kg),0,21.0,Oct-2025
,0,0.0,Oct-2025
2025-10-26 00:00:00,0,0.0,Oct-2025
Waste type,0,0.0,Oct-2025
Wet waste,0,68.15,Oct-2025
Dry waste,0,83.51,Oct-2025
TOTAL (Kg),0,151.66,Oct-2025
,0,0.0,Oct-2025
2025-10-27 00:00:00,0,0.0,Oct-2025
Waste type,0,0.0,Oct-2025
Wet waste,0,220.77,Oct-2025
Dry waste,0,114.72,Oct-2025
TOTAL (Kg),0,335.49,Oct-2025
,0,0.0,Oct-2025
2025-10-28 00:00:00,0,0.0,Oct-2025
Waste type,0,0.0,Oct-2025
Wet waste,0,269.23,Oct-2025
Dry waste,0,137.54,Oct-2025
TOTAL (Kg),0,406.77,Oct-2025
,0,0.0,Oct-2025
2025-10-29 00:00:00,0,0.0,Oct-2025
Waste type,0,0.0,Oct-2025
Wet waste,0,261.63,Oct-2025
Dry waste,0,131.43,Oct-2025
TOTAL (Kg),0,393.06,Oct-2025
,0,0.0,Oct-2025
2025-10-30 00:00:00,0,0.0,Oct-2025
Waste type,0,0.0,Oct-2025
Wet waste,0,228.28,Oct-2025
Dry waste,0,135.53,Oct-2025
TOTAL (Kg),0,363.81,Oct-2025
,0,0.0,Oct-2025
2025-10-31 00:00:00,0,0.0,Oct-2025
Waste type,0,0.0,Oct-2025
Wet waste,0,256.81,Oct-2025
Dry waste,0,176.74,Oct-2025
TOTAL (Kg),0,433.55,Oct-2025
,0,4697.54,Oct-2025
,0,2606.77,Oct-2025
Wet waste,A&B Block,23,NOv 2025
Dry waste,A&B Block,46,NOv 2025
TOTAL (Kg),A&B Block,69,NOv 2025
Waste type,A&B Block,A&B Block,NOv 2025
Wet waste,A&B Block,52,NOv 2025
Dry waste,A&B Block,53,NOv 2025
TOTAL (Kg),A&B Block,105,NOv 2025
Waste type,A&B Block,A&B Block,NOv 2025
Wet waste,A&B Block,43,NOv 2025
Dry waste,A&B Block,65,NOv 2025
TOTAL (Kg),A&B Block,108,NOv 2025
Waste type,A&B Block,A&B Block,NOv 2025
Wet waste,A&B Block,40,NOv 2025
Dry waste,A&B Block,73,NOv 2025
TOTAL (Kg),A&B Block,113,NOv 2025
Waste type,A&B Block,A&B Block,NOv 2025
Wet waste,A&B Block,41,NOv 2025
Dry waste,A&B Block,66,NOv 2025
TOTAL (Kg),A&B Block,107,NOv 2025
Waste type,A&B Block,A&B Block,NOv 2025
Wet waste,A&B Block,55,NOv 2025
Dry waste,A&B Block,81,NOv 2025
TOTAL (Kg),A&B Block,136,NOv 2025
Waste type,A&B Block,A&B Block,NOv 2025
Wet waste,A&B Block,43,NOv 2025
Dry waste,A&B Block,73,NOv 2025
TOTAL (Kg),A&B Block,116,NOv 2025
Waste type,A&B Block,A&B Block,NOv 2025
Wet waste,A&B Block,26,NOv 2025
Dry waste,A&B Block,62,NOv 2025
TOTAL (Kg),A&B Block,88,NOv 2025
Waste type,A&B Block,A&B Block,NOv 2025
Wet waste,A&B Block,26,NOv 2025
Dry waste,A&B Block,72,NOv 2025
TOTAL (Kg),A&B Block,98,NOv 2025
Waste type,A&B Block,A&B Block,NOv 2025
Wet waste,A&B Block,31,NOv 2025
Dry waste,A&B Block,90,NOv 2025
TOTAL (Kg),A&B Block,121,NOv 2025
Waste type,A&B Block,A&B Block,NOv 2025
Wet waste,A&B Block,56,NOv 2025
Dry waste,A&B Block,68,NOv 2025
TOTAL (Kg),A&B Block,124,NOv 2025
Waste type,A&B Block,A&B Block,NOv 2025
Wet waste,A&B Block,31,NOv 2025
Dry waste,A&B Block,90,NOv 2025
TOTAL (Kg),A&B Block,121,NOv 2025
Waste type,A&B Block,A&B Block,NOv 2025
Wet waste,A&B Block,37,NOv 2025
Dry waste,A&B Block,84,NOv 2025
TOTAL (Kg),A&B Block,121,NOv 2025
Waste type,A&B Block,A&B Block,NOv 2025
Wet waste,A&B Block,63,NOv 2025
Dry waste,A&B Block,109,NOv 2025
TOTAL (Kg),A&B Block,172,NOv 2025
Waste type,A&B Block,A&B Block,NOv 2025
Wet waste,A&B Block,26,NOv 2025
Dry waste,A&B Block,76,NOv 2025
TOTAL (Kg),A&B Block,102,NOv 2025
Waste type,A&B Block,A&B Block,NOv 2025
Wet waste,A&B Block,27,NOv 2025
Dry waste,A&B Block,90,NOv 2025
TOTAL (Kg),A&B Block,117,NOv 2025
Waste type,A&B Block,A&B Block,NOv 2025
Wet waste,A&B Block,47,NOv 2025
Dry waste,A&B Block,97,NOv 2025
TOTAL (Kg),A&B Block,144,NOv 2025
Waste type,A&B Block,A&B Block,NOv 2025
Wet waste,A&B Block,47,NOv 2025
Dry waste,A&B Block,97,NOv 2025
TOTAL (Kg),A&B Block,144,NOv 2025
Waste type,A&B Block,A&B Block,NOv 2025
Wet waste,A&B Block,57,NOv 2025
Dry waste,A&B Block,82,NOv 2025
TOTAL (Kg),A&B Block,139,NOv 2025
Waste type,A&B Block,A&B Block,NOv 2025
Wet waste,A&B Block,48,NOv 2025
Dry waste,A&B Block,84,NOv 2025
TOTAL (Kg),A&B Block,132,NOv 2025
Waste type,A&B Block,A&B Block,NOv 2025
Wet waste,A&B Block,47,NOv 2025
Dry waste,A&B Block,72,NOv 2025
TOTAL (Kg),A&B Block,119,NOv 2025
Waste type,A&B Block,A&B Block,NOv 2025
Wet waste,A&B Block,42,NOv 2025
Dry waste,A&B Block,108,NOv 2025
TOTAL (Kg),A&B Block,150,NOv 2025
Waste type,A&B Block,A&B Block,NOv 2025
Wet waste,A&B Block,22,NOv 2025
Dry waste,A&B Block,62,NOv 2025
TOTAL (Kg),A&B Block,84,NOv 2025
Waste type,A&B Block,A&B Block,NOv 2025
Wet waste,A&B Block,36,NOv 2025
Dry waste,A&B Block,80,NOv 2025
TOTAL (Kg),A&B Block,116,NOv 2025
Waste type,A&B Block,A&B Block,NOv 2025
Wet waste,A&B Block,41,NOv 2025
Dry waste,A&B Block,90,NOv 2025
TOTAL (Kg),A&B Block,131,NOv 2025
Waste type,A&B Block,A&B Block,NOv 2025
Wet waste,A&B Block,41,NOv 2025
Dry waste,A&B Block,90,NOv 2025
TOTAL (Kg),A&B Block,131,NOv 2025
Waste type,A&B Block,A&B Block,NOv 2025
Wet waste,A&B Block,39,NOv 2025
Dry waste,A&B Block,104,NOv 2025
TOTAL (Kg),A&B Block,143,NOv 2025
Waste type,A&B Block,A&B Block,NOv 2025
Wet waste,A&B Block,37,NOv 2025
Dry waste,A&B Block,91,NOv 2025
TOTAL (Kg),A&B Block,128,NOv 2025
Waste type,A&B Block,A&B Block,NOv 2025
Wet waste,A&B Block,112,NOv 2025
Dry waste,A&B Block,28,NOv 2025
TOTAL (Kg),A&B Block,140,NOv 2025
Waste type,A&B Block,A&B Block,NOv 2025
Wet waste,A&B Block,60,NOv 2025
Dry waste,A&B Block,31,NOv 2025
TOTAL (Kg),A&B Block,91,NOv 2025
Wet waste,C&D Block,11.9,NOv 2025
Dry waste,C&D Block,3.31,NOv 2025
TOTAL (Kg),C&D Block,15.21,NOv 2025
Waste type,C&D Block,C&D Block,NOv 2025
Wet waste,C&D Block,18.5,NOv 2025
Dry waste,C&D Block,4.84,NOv 2025
TOTAL (Kg),C&D Block,23.34,NOv 2025
Waste type,C&D Block,C&D Block,NOv 2025
Wet waste,C&D Block,19.312,NOv 2025
Dry waste,C&D Block,6.13,NOv 2025
TOTAL (Kg),C&D Block,25.442,NOv 2025
Waste type,C&D Block,C&D Block,NOv 2025
Wet waste,C&D Block,13.5,NOv 2025
Dry waste,C&D Block,4.84,NOv 2025
TOTAL (Kg),C&D Block,18.34,NOv 2025
Waste type,C&D Block,C&D Block,NOv 2025
Wet waste,C&D Block,11.31,NOv 2025
Dry waste,C&D Block,5.12,NOv 2025
TOTAL (Kg),C&D Block,16.43,NOv 2025
Waste type,C&D Block,C&D Block,NOv 2025
Wet waste,C&D Block,14.36,NOv 2025
Dry waste,C&D Block,4.91,NOv 2025
TOTAL (Kg),C&D Block,19.27,NOv 2025
Waste type,C&D Block,C&D Block,NOv 2025
Wet waste,C&D Block,15.417,NOv 2025
Dry waste,C&D Block,4.91,NOv 2025
TOTAL (Kg),C&D Block,20.327,NOv 2025
Waste type,C&D Block,C&D Block,NOv 2025
Wet waste,C&D Block,16.31,NOv 2025
Dry waste,C&D Block,8.5,NOv 2025
TOTAL (Kg),C&D Block,24.81,NOv 2025
Waste type,C&D Block,C&D Block,NOv 2025
Wet waste,C&D Block,12.91,NOv 2025
Dry waste,C&D Block,5.84,NOv 2025
TOTAL (Kg),C&D Block,18.75,NOv 2025
Waste type,C&D Block,C&D Block,NOv 2025
Wet waste,C&D Block,25.66,NOv 2025
Dry waste,C&D Block,7.41,NOv 2025
TOTAL (Kg),C&D Block,33.07,NOv 2025
Waste type,C&D Block,C&D Block,NOv 2025
Wet waste,C&D Block,25.66,NOv 2025
Dry waste,C&D Block,5.3,NOv 2025
TOTAL (Kg),C&D Block,30.96,NOv 2025
Waste type,C&D Block,C&D Block,NOv 2025
Wet waste,C&D Block,16.23,NOv 2025
Dry waste,C&D Block,5.74,NOv 2025
TOTAL (Kg),C&D Block,21.97,NOv 2025
Waste type,C&D Block,C&D Block,NOv 2025
Wet waste,C&D Block,18.25,NOv 2025
Dry waste,C&D Block,6.84,NOv 2025
TOTAL (Kg),C&D Block,25.09,NOv 2025
Waste type,C&D Block,C&D Block,NOv 2025
Wet waste,C&D Block,18.54,NOv 2025
Dry waste,C&D Block,5.92,NOv 2025
TOTAL (Kg),C&D Block,24.46,NOv 2025
Waste type,C&D Block,C&D Block,NOv 2025
Wet waste,C&D Block,17.49,NOv 2025
Dry waste,C&D Block,7.8,NOv 2025
TOTAL (Kg),C&D Block,25.29,NOv 2025
Waste type,C&D Block,C&D Block,NOv 2025
Wet waste,C&D Block,19.19,NOv 2025
Dry waste,C&D Block,11.5,NOv 2025
TOTAL (Kg),C&D Block,30.69,NOv 2025
Waste type,C&D Block,C&D Block,NOv 2025
Wet waste,C&D Block,16.84,NOv 2025
Dry waste,C&D Block,5.34,NOv 2025
TOTAL (Kg),C&D Block,22.18,NOv 2025
Waste type,C&D Block,C&D Block,NOv 2025
Wet waste,C&D Block,18.15,NOv 2025
Dry waste,C&D Block,4.72,NOv 2025
TOTAL (Kg),C&D Block,22.87,NOv 2025
Waste type,C&D Block,C&D Block,NOv 2025
Wet waste,C&D Block,16.18,NOv 2025
Dry waste,C&D Block,5.42,NOv 2025
TOTAL (Kg),C&D Block,21.6,NOv 2025
Waste type,C&D Block,C&D Block,NOv 2025
Wet waste,C&D Block,16.26,NOv 2025
Dry waste,C&D Block,4.91,NOv 2025
TOTAL (Kg),C&D Block,21.17,NOv 2025
Waste type,C&D Block,C&D Block,NOv 2025
Wet waste,C&D Block,18.96,NOv 2025
Dry waste,C&D Block,6.41,NOv 2025
TOTAL (Kg),C&D Block,25.37,NOv 2025
Waste type,C&D Block,C&D Block,NOv 2025
Wet waste,C&D Block,14.99,NOv 2025
Dry waste,C&D Block,9,NOv 2025
TOTAL (Kg),C&D Block,23.99,NOv 2025
Waste type,C&D Block,C&D Block,NOv 2025
Wet waste,C&D Block,12.36,NOv 2025
Dry waste,C&D Block,5.28,NOv 2025
TOTAL (Kg),C&D Block,17.64,NOv 2025
Waste type,C&D Block,C&D Block,NOv 2025
Wet waste,C&D Block,15.717,NOv 2025
Dry waste,C&D Block,4.38,NOv 2025
TOTAL (Kg),C&D Block,20.097,NOv 2025
Waste type,C&D Block,C&D Block,NOv 2025
Wet waste,C&D Block,16.61,NOv 2025
Dry waste,C&D Block,5.28,NOv 2025
TOTAL (Kg),C&D Block,21.89,NOv 2025
Waste type,C&D Block,C&D Block,NOv 2025
Wet waste,C&D Block,16.27,NOv 2025
Dry waste,C&D Block,5.84,NOv 2025
TOTAL (Kg),C&D Block,22.11,NOv 2025
Waste type,C&D Block,C&D Block,NOv 2025
Wet waste,C&D Block,18.49,NOv 2025
Dry waste,C&D Block,6.16,NOv 2025
TOTAL (Kg),C&D Block,24.65,NOv 2025
Waste type,C&D Block,C&D Block,NOv 2025
Wet waste,C&D Block,17.43,NOv 2025
Dry waste,C&D Block,5.38,NOv 2025
TOTAL (Kg),C&D Block,22.81,NOv 2025
Waste type,C&D Block,C&D Block,NOv 2025
Wet waste,C&D Block,21.31,NOv 2025
Dry waste,C&D Block,8.232,NOv 2025
TOTAL (Kg),C&D Block,29.542,NOv 2025
Waste type,C&D Block,C&D Block,NOv 2025
Wet waste,C&D Block,19.5,NOv 2025
Dry waste,C&D Block,8.414,NOv 2025
TOTAL (Kg),C&D Block,27.914,NOv 2025
Wet waste,L H Hostel,5,NOv 2025
Dry waste,L H Hostel,40,NOv 2025
TOTAL (Kg),L H Hostel,45,NOv 2025
Waste type,L H Hostel,L H Hostel,NOv 2025
Wet waste,L H Hostel,7,NOv 2025
Dry waste,L H Hostel,0,NOv 2025
TOTAL (Kg),L H Hostel,7,NOv 2025
Waste type,L H Hostel,L H Hostel,NOv 2025
Wet waste,L H Hostel,6,NOv 2025
Dry waste,L H Hostel,0,NOv 2025
TOTAL (Kg),L H Hostel,6,NOv 2025
Waste type,L H Hostel,L H Hostel,NOv 2025
Wet waste,L H Hostel,8,NOv 2025
Dry waste,L H Hostel,0,NOv 2025
TOTAL (Kg),L H Hostel,8,NOv 2025
Waste type,L H Hostel,L H Hostel,NOv 2025
Wet waste,L H Hostel,8,NOv 2025
Dry waste,L H Hostel,59,NOv 2025
TOTAL (Kg),L H Hostel,67,NOv 2025
Waste type,L H Hostel,L H Hostel,NOv 2025
Wet waste,L H Hostel,9,NOv 2025
Dry waste,L H Hostel,0,NOv 2025
TOTAL (Kg),L H Hostel,9,NOv 2025
Waste type,L H Hostel,L H Hostel,NOv 2025
Wet waste,L H Hostel,8,NOv 2025
Dry waste,L H Hostel,0,NOv 2025
TOTAL (Kg),L H Hostel,8,NOv 2025
Waste type,L H Hostel,L H Hostel,NOv 2025
Wet waste,L H Hostel,6,NOv 2025
Dry waste,L H Hostel,0,NOv 2025
TOTAL (Kg),L H Hostel,6,NOv 2025
Waste type,L H Hostel,L H Hostel,NOv 2025
Wet waste,L H Hostel,8,NOv 2025
Dry waste,L H Hostel,0,NOv 2025
TOTAL (Kg),L H Hostel,8,NOv 2025
Waste type,L H Hostel,L H Hostel,NOv 2025
Wet waste,L H Hostel,8,NOv 2025
Dry waste,L H Hostel,40,NOv 2025
TOTAL (Kg),L H Hostel,48,NOv 2025
Waste type,L H Hostel,L H Hostel,NOv 2025
Wet waste,L H Hostel,7,NOv 2025
Dry waste,L H Hostel,0,NOv 2025
TOTAL (Kg),L H Hostel,7,NOv 2025
Waste type,L H Hostel,L H Hostel,NOv 2025
Wet waste,L H Hostel,10,NOv 2025
Dry waste,L H Hostel,50,NOv 2025
TOTAL (Kg),L H Hostel,60,NOv 2025
Waste type,L H Hostel,L H Hostel,NOv 2025
Wet waste,L H Hostel,7,NOv 2025
Dry waste,L H Hostel,0,NOv 2025
TOTAL (Kg),L H Hostel,7,NOv 2025
Waste type,L H Hostel,L H Hostel,NOv 2025
Wet waste,L H Hostel,6,NOv 2025
Dry waste,L H Hostel,0,NOv 2025
TOTAL (Kg),L H Hostel,6,NOv 2025
Waste type,L H Hostel,L H Hostel,NOv 2025
Wet waste,L H Hostel,9,NOv 2025
Dry waste,L H Hostel,45,NOv 2025
TOTAL (Kg),L H Hostel,54,NOv 2025
Waste type,L H Hostel,L H Hostel,NOv 2025
Wet waste,L H Hostel,10,NOv 2025
Dry waste,L H Hostel,38,NOv 2025
TOTAL (Kg),L H Hostel,48,NOv 2025
Waste type,L H Hostel,L H Hostel,NOv 2025
Wet waste,L H Hostel,11,NOv 2025
Dry waste,L H Hostel,0,NOv 2025
TOTAL (Kg),L H Hostel,11,NOv 2025
Waste type,L H Hostel,L H Hostel,NOv 2025
Wet waste,L H Hostel,10,NOv 2025
Dry waste,L H Hostel,0,NOv 2025
TOTAL (Kg),L H Hostel,10,NOv 2025
Waste type,L H Hostel,L H Hostel,NOv 2025
Wet waste,L H Hostel,9,NOv 2025
Dry waste,L H Hostel,52,NOv 2025
TOTAL (Kg),L H Hostel,61,NOv 2025
Waste type,L H Hostel,L H Hostel,NOv 2025
Wet waste,L H Hostel,8,NOv 2025
Dry waste,L H Hostel,0,NOv 2025
TOTAL (Kg),L H Hostel,8,NOv 2025
Waste type,L H Hostel,L H Hostel,NOv 2025
Wet waste,L H Hostel,7,NOv 2025
Dry waste,L H Hostel,0,NOv 2025
TOTAL (Kg),L H Hostel,7,NOv 2025
